id,nombre,precio,claveHash,slot,probes,durationNs
1078,Astromelias variedad #78,38.00,1078,216,1,300
1079,Gerberas variedad #79,39.00,1079,217,1,200
1080,Rosas variedad #80,40.00,1080,218,1,200
1081,Tulipanes variedad #81,41.00,1081,219,1,200
1082,Lirios variedad #82,42.00,1082,220,1,200
1083,Girasoles variedad #83,43.00,1083,221,1,100
1084,Orquideas variedad #84,44.00,1084,222,1,200
1085,Claveles variedad #85,45.00,1085,223,1,200
1086,Margaritas variedad #86,46.00,1086,224,1,200
1087,Crisantemos variedad #87,47.00,1087,225,1,200
1088,Astromelias variedad #88,48.00,1088,226,1,100
1089,Gerberas variedad #89,49.00,1089,227,1,200
1090,Rosas variedad #90,50.00,1090,228,1,100
1091,Tulipanes variedad #91,51.00,1091,229,1,200
1092,Lirios variedad #92,52.00,1092,230,1,200
1093,Girasoles variedad #93,53.00,1093,231,1,100
1094,Orquideas variedad #94,54.00,1094,232,1,100
1095,Claveles variedad #95,55.00,1095,233,1,100
1096,Margaritas variedad #96,56.00,1096,234,1,200
1097,Crisantemos variedad #97,57.00,1097,235,1,200
1098,Astromelias variedad #98,58.00,1098,236,1,200
1099,Gerberas variedad #99,59.00,1099,237,1,200
1100,Rosas variedad #100,10.00,1100,238,1,100
1101,Tulipanes variedad #101,11.00,1101,239,1,100
1102,Lirios variedad #102,12.00,1102,240,1,200
1103,Girasoles variedad #103,13.00,1103,241,1,200
1104,Orquideas variedad #104,14.00,1104,242,1,200
1105,Claveles variedad #105,15.00,1105,243,1,200
1106,Margaritas variedad #106,16.00,1106,244,1,200
1107,Crisantemos variedad #107,17.00,1107,245,1,200
1108,Astromelias variedad #108,18.00,1108,246,1,200
1109,Gerberas variedad #109,19.00,1109,247,1,200
1110,Rosas variedad #110,20.00,1110,248,1,200
1111,Tulipanes variedad #111,21.00,1111,249,1,200
1112,Lirios variedad #112,22.00,1112,250,1,200
1113,Girasoles variedad #113,23.00,1113,251,1,200
1114,Orquideas variedad #114,24.00,1114,252,1,200
1115,Claveles variedad #115,25.00,1115,253,1,200
1116,Margaritas variedad #116,26.00,1116,254,1,200
1117,Crisantemos variedad #117,27.00,1117,255,1,200
1118,Astromelias variedad #118,28.00,1118,256,1,200
1119,Gerberas variedad #119,29.00,1119,257,1,300
1120,Rosas variedad #120,30.00,1120,258,1,600
1121,Tulipanes variedad #121,31.00,1121,259,1,200
1122,Lirios variedad #122,32.00,1122,260,1,200
1123,Girasoles variedad #123,33.00,1123,261,1,200
1124,Orquideas variedad #124,34.00,1124,262,1,100
1125,Claveles variedad #125,35.00,1125,263,1,200
1126,Margaritas variedad #126,36.00,1126,264,1,200
1127,Crisantemos variedad #127,37.00,1127,265,1,600
1128,Astromelias variedad #128,38.00,1128,266,1,200
1129,Gerberas variedad #129,39.00,1129,267,1,200
1130,Rosas variedad #130,40.00,1130,268,1,200
1131,Tulipanes variedad #131,41.00,1131,269,1,200
1132,Lirios variedad #132,42.00,1132,270,1,200
1133,Girasoles variedad #133,43.00,1133,271,1,100
1134,Orquideas variedad #134,44.00,1134,272,1,100
1135,Claveles variedad #135,45.00,1135,273,1,100
1136,Margaritas variedad #136,46.00,1136,274,1,200
1137,Crisantemos variedad #137,47.00,1137,275,1,200
1138,Astromelias variedad #138,48.00,1138,276,1,200
1139,Gerberas variedad #139,49.00,1139,277,1,200
1140,Rosas variedad #140,50.00,1140,278,1,200
1141,Tulipanes variedad #141,51.00,1141,279,1,200
1142,Lirios variedad #142,52.00,1142,280,1,200
1143,Girasoles variedad #143,53.00,1143,281,1,100
1144,Orquideas variedad #144,54.00,1144,282,1,200
1145,Claveles variedad #145,55.00,1145,283,1,200
1146,Margaritas variedad #146,56.00,1146,284,1,200
1147,Crisantemos variedad #147,57.00,1147,285,1,200
1148,Astromelias variedad #148,58.00,1148,286,1,200
1149,Gerberas variedad #149,59.00,1149,287,1,200
1150,Rosas variedad #150,10.00,1150,288,1,100
1151,Tulipanes variedad #151,11.00,1151,289,1,200
1152,Lirios variedad #152,12.00,1152,290,1,200
1153,Girasoles variedad #153,13.00,1153,291,1,300
1154,Orquideas variedad #154,14.00,1154,292,1,200
1155,Claveles variedad #155,15.00,1155,293,1,200
1156,Margaritas variedad #156,16.00,1156,294,1,100
1157,Crisantemos variedad #157,17.00,1157,295,1,200
1158,Astromelias variedad #158,18.00,1158,296,1,200
1159,Gerberas variedad #159,19.00,1159,297,1,100
1160,Rosas variedad #160,20.00,1160,298,1,200
1161,Tulipanes variedad #161,21.00,1161,299,1,200
1162,Lirios variedad #162,22.00,1162,300,1,200
1163,Girasoles variedad #163,23.00,1163,301,1,300
1164,Orquideas variedad #164,24.00,1164,302,1,200
1165,Claveles variedad #165,25.00,1165,303,1,200
1166,Margaritas variedad #166,26.00,1166,304,1,200
1167,Crisantemos variedad #167,27.00,1167,305,1,200
1168,Astromelias variedad #168,28.00,1168,306,1,200
1169,Gerberas variedad #169,29.00,1169,307,1,200
1170,Rosas variedad #170,30.00,1170,308,1,200
1171,Tulipanes variedad #171,31.00,1171,309,1,200
1172,Lirios variedad #172,32.00,1172,310,1,100
1173,Girasoles variedad #173,33.00,1173,311,1,200
1174,Orquideas variedad #174,34.00,1174,312,1,100
1175,Claveles variedad #175,35.00,1175,313,1,200
1176,Margaritas variedad #176,36.00,1176,314,1,200
1177,Crisantemos variedad #177,37.00,1177,315,1,200
1178,Astromelias variedad #178,38.00,1178,316,1,500
1179,Gerberas variedad #179,39.00,1179,317,1,100
1180,Rosas variedad #180,40.00,1180,318,1,200
1181,Tulipanes variedad #181,41.00,1181,319,1,200
1182,Lirios variedad #182,42.00,1182,320,1,200
1183,Girasoles variedad #183,43.00,1183,321,1,200
1184,Orquideas variedad #184,44.00,1184,322,1,200
1185,Claveles variedad #185,45.00,1185,323,1,200
1186,Margaritas variedad #186,46.00,1186,324,1,200
1187,Crisantemos variedad #187,47.00,1187,325,1,200
1188,Astromelias variedad #188,48.00,1188,326,1,200
1189,Gerberas variedad #189,49.00,1189,327,1,200
1190,Rosas variedad #190,50.00,1190,328,1,100
1191,Tulipanes variedad #191,51.00,1191,329,1,100
1192,Lirios variedad #192,52.00,1192,330,1,100
1193,Girasoles variedad #193,53.00,1193,331,1,200
1194,Orquideas variedad #194,54.00,1194,332,1,200
1195,Claveles variedad #195,55.00,1195,333,1,200
1196,Margaritas variedad #196,56.00,1196,334,1,200
1197,Crisantemos variedad #197,57.00,1197,335,1,200
1198,Astromelias variedad #198,58.00,1198,336,1,200
1199,Gerberas variedad #199,59.00,1199,337,1,200
